datetime,netCroBoNL
2018-01-01 00:00:00+01:00,34
2018-01-01 01:00:00+01:00,-173
2018-01-01 02:00:00+01:00,-487
2018-01-01 03:00:00+01:00,-604
2018-01-01 04:00:00+01:00,-781
2018-01-01 05:00:00+01:00,-605
2018-01-01 06:00:00+01:00,-331
2018-01-01 07:00:00+01:00,-44
2018-01-01 08:00:00+01:00,442
2018-01-01 09:00:00+01:00,1019
2018-01-01 10:00:00+01:00,584
2018-01-01 11:00:00+01:00,-190
2018-01-01 12:00:00+01:00,-410
2018-01-01 13:00:00+01:00,-174
2018-01-01 14:00:00+01:00,965
2018-01-01 15:00:00+01:00,2061
2018-01-01 16:00:00+01:00,2857
2018-01-01 17:00:00+01:00,3135
2018-01-01 18:00:00+01:00,3684
2018-01-01 19:00:00+01:00,3853
2018-01-01 20:00:00+01:00,3776
2018-01-01 21:00:00+01:00,3809
2018-01-01 22:00:00+01:00,3467
2018-01-01 23:00:00+01:00,2889
2018-01-02 00:00:00+01:00,2349
2018-01-02 01:00:00+01:00,2368
2018-01-02 02:00:00+01:00,1990
2018-01-02 03:00:00+01:00,1756
2018-01-02 04:00:00+01:00,1845
2018-01-02 05:00:00+01:00,2148
2018-01-02 06:00:00+01:00,2506
2018-01-02 07:00:00+01:00,1877
2018-01-02 08:00:00+01:00,1578
2018-01-02 09:00:00+01:00,1824
2018-01-02 10:00:00+01:00,1932
2018-01-02 11:00:00+01:00,1991
2018-01-02 12:00:00+01:00,1779
2018-01-02 13:00:00+01:00,2031
2018-01-02 14:00:00+01:00,2119
2018-01-02 15:00:00+01:00,1914
2018-01-02 16:00:00+01:00,2010
2018-01-02 17:00:00+01:00,2245
2018-01-02 18:00:00+01:00,716
2018-01-02 19:00:00+01:00,316
2018-01-02 20:00:00+01:00,1262
2018-01-02 21:00:00+01:00,2130
2018-01-02 22:00:00+01:00,1797
2018-01-02 23:00:00+01:00,1294
2018-01-03 00:00:00+01:00,1288
2018-01-03 01:00:00+01:00,1056
2018-01-03 02:00:00+01:00,674
2018-01-03 03:00:00+01:00,595
2018-01-03 04:00:00+01:00,406
2018-01-03 05:00:00+01:00,835
2018-01-03 06:00:00+01:00,1284
2018-01-03 07:00:00+01:00,1319
2018-01-03 08:00:00+01:00,1238
2018-01-03 09:00:00+01:00,1320
2018-01-03 10:00:00+01:00,1332
2018-01-03 11:00:00+01:00,1423
2018-01-03 12:00:00+01:00,1410
2018-01-03 13:00:00+01:00,1423
2018-01-03 14:00:00+01:00,1208
2018-01-03 15:00:00+01:00,1175
2018-01-03 16:00:00+01:00,1049
2018-01-03 17:00:00+01:00,1108
2018-01-03 18:00:00+01:00,266
2018-01-03 19:00:00+01:00,473
2018-01-03 20:00:00+01:00,738
2018-01-03 21:00:00+01:00,925
2018-01-03 22:00:00+01:00,215
2018-01-03 23:00:00+01:00,-207
2018-01-04 00:00:00+01:00,-316
2018-01-04 01:00:00+01:00,-262
2018-01-04 02:00:00+01:00,-141
2018-01-04 03:00:00+01:00,153
2018-01-04 04:00:00+01:00,754
2018-01-04 05:00:00+01:00,1226
2018-01-04 06:00:00+01:00,2269
2018-01-04 07:00:00+01:00,2152
2018-01-04 08:00:00+01:00,1870
2018-01-04 09:00:00+01:00,2274
2018-01-04 10:00:00+01:00,2445
2018-01-04 11:00:00+01:00,2874
2018-01-04 12:00:00+01:00,2788
2018-01-04 13:00:00+01:00,3092
2018-01-04 14:00:00+01:00,3030
2018-01-04 15:00:00+01:00,2725
2018-01-04 16:00:00+01:00,2784
2018-01-04 17:00:00+01:00,2160
2018-01-04 18:00:00+01:00,982
2018-01-04 19:00:00+01:00,270
2018-01-04 20:00:00+01:00,1106
2018-01-04 21:00:00+01:00,1842
2018-01-04 22:00:00+01:00,1397
2018-01-04 23:00:00+01:00,1136
2018-01-05 00:00:00+01:00,917
2018-01-05 01:00:00+01:00,934
2018-01-05 02:00:00+01:00,807
2018-01-05 03:00:00+01:00,834
2018-01-05 04:00:00+01:00,528
2018-01-05 05:00:00+01:00,1334
2018-01-05 06:00:00+01:00,1676
2018-01-05 07:00:00+01:00,913
2018-01-05 08:00:00+01:00,1405
2018-01-05 09:00:00+01:00,1817
2018-01-05 10:00:00+01:00,1990
2018-01-05 11:00:00+01:00,1994
2018-01-05 12:00:00+01:00,1678
2018-01-05 13:00:00+01:00,1960
2018-01-05 14:00:00+01:00,1889
2018-01-05 15:00:00+01:00,1783
2018-01-05 16:00:00+01:00,1794
2018-01-05 17:00:00+01:00,2145
2018-01-05 18:00:00+01:00,1010
2018-01-05 19:00:00+01:00,336
2018-01-05 20:00:00+01:00,-110
2018-01-05 21:00:00+01:00,51
2018-01-05 22:00:00+01:00,235
2018-01-05 23:00:00+01:00,613
2018-01-06 00:00:00+01:00,1565
2018-01-06 01:00:00+01:00,2119
2018-01-06 02:00:00+01:00,2165
2018-01-06 03:00:00+01:00,2147
2018-01-06 04:00:00+01:00,2190
2018-01-06 05:00:00+01:00,2201
2018-01-06 06:00:00+01:00,2432
2018-01-06 07:00:00+01:00,3099
2018-01-06 08:00:00+01:00,2876
2018-01-06 09:00:00+01:00,2533
2018-01-06 10:00:00+01:00,2695
2018-01-06 11:00:00+01:00,2804
2018-01-06 12:00:00+01:00,2621
2018-01-06 13:00:00+01:00,2489
2018-01-06 14:00:00+01:00,2348
2018-01-06 15:00:00+01:00,1967
2018-01-06 16:00:00+01:00,2220
2018-01-06 17:00:00+01:00,2304
2018-01-06 18:00:00+01:00,1440
2018-01-06 19:00:00+01:00,972
2018-01-06 20:00:00+01:00,899
2018-01-06 21:00:00+01:00,1382
2018-01-06 22:00:00+01:00,1180
2018-01-06 23:00:00+01:00,1782
2018-01-07 00:00:00+01:00,1568
2018-01-07 01:00:00+01:00,1462
2018-01-07 02:00:00+01:00,1314
2018-01-07 03:00:00+01:00,1087
2018-01-07 04:00:00+01:00,1002
2018-01-07 05:00:00+01:00,1162
2018-01-07 06:00:00+01:00,1373
2018-01-07 07:00:00+01:00,1897
2018-01-07 08:00:00+01:00,2397
2018-01-07 09:00:00+01:00,2519
2018-01-07 10:00:00+01:00,2697
2018-01-07 11:00:00+01:00,2797
2018-01-07 12:00:00+01:00,3219
2018-01-07 13:00:00+01:00,3065
2018-01-07 14:00:00+01:00,2975
2018-01-07 15:00:00+01:00,2875
2018-01-07 16:00:00+01:00,2702
2018-01-07 17:00:00+01:00,3113
2018-01-07 18:00:00+01:00,1814
2018-01-07 19:00:00+01:00,1892
2018-01-07 20:00:00+01:00,2037
2018-01-07 21:00:00+01:00,2312
2018-01-07 22:00:00+01:00,1778
2018-01-07 23:00:00+01:00,1282
2018-01-08 00:00:00+01:00,1493
2018-01-08 01:00:00+01:00,1186
2018-01-08 02:00:00+01:00,942
2018-01-08 03:00:00+01:00,925
2018-01-08 04:00:00+01:00,952
2018-01-08 05:00:00+01:00,777
2018-01-08 06:00:00+01:00,420
2018-01-08 07:00:00+01:00,-373
2018-01-08 08:00:00+01:00,-670
2018-01-08 09:00:00+01:00,-610
2018-01-08 10:00:00+01:00,-700
2018-01-08 11:00:00+01:00,-840
2018-01-08 12:00:00+01:00,-1062
2018-01-08 13:00:00+01:00,-1126
2018-01-08 14:00:00+01:00,-1093
2018-01-08 15:00:00+01:00,-909
2018-01-08 16:00:00+01:00,-444
2018-01-08 17:00:00+01:00,-259
2018-01-08 18:00:00+01:00,-591
2018-01-08 19:00:00+01:00,-659
2018-01-08 20:00:00+01:00,-659
2018-01-08 21:00:00+01:00,-459
2018-01-08 22:00:00+01:00,-520
2018-01-08 23:00:00+01:00,-58
2018-01-09 00:00:00+01:00,-539
2018-01-09 01:00:00+01:00,-593
2018-01-09 02:00:00+01:00,-491
2018-01-09 03:00:00+01:00,-161
2018-01-09 04:00:00+01:00,300
2018-01-09 05:00:00+01:00,-67
2018-01-09 06:00:00+01:00,-680
2018-01-09 07:00:00+01:00,-775
2018-01-09 08:00:00+01:00,-543
2018-01-09 09:00:00+01:00,-78
2018-01-09 10:00:00+01:00,327
2018-01-09 11:00:00+01:00,293
2018-01-09 12:00:00+01:00,249
2018-01-09 13:00:00+01:00,336
2018-01-09 14:00:00+01:00,393
2018-01-09 15:00:00+01:00,463
2018-01-09 16:00:00+01:00,137
2018-01-09 17:00:00+01:00,169
2018-01-09 18:00:00+01:00,-332
2018-01-09 19:00:00+01:00,-612
2018-01-09 20:00:00+01:00,-478
2018-01-09 21:00:00+01:00,-236
2018-01-09 22:00:00+01:00,-975
2018-01-09 23:00:00+01:00,-1047
2018-01-10 00:00:00+01:00,134
2018-01-10 01:00:00+01:00,1029
2018-01-10 02:00:00+01:00,1597
2018-01-10 03:00:00+01:00,1455
2018-01-10 04:00:00+01:00,958
2018-01-10 05:00:00+01:00,884
2018-01-10 06:00:00+01:00,107
2018-01-10 07:00:00+01:00,-238
2018-01-10 08:00:00+01:00,626
2018-01-10 09:00:00+01:00,798
2018-01-10 10:00:00+01:00,844
2018-01-10 11:00:00+01:00,827
2018-01-10 12:00:00+01:00,562
2018-01-10 13:00:00+01:00,649
2018-01-10 14:00:00+01:00,651
2018-01-10 15:00:00+01:00,677
2018-01-10 16:00:00+01:00,746
2018-01-10 17:00:00+01:00,958
2018-01-10 18:00:00+01:00,0
2018-01-10 19:00:00+01:00,-728
2018-01-10 20:00:00+01:00,-1123
2018-01-10 21:00:00+01:00,-215
2018-01-10 22:00:00+01:00,-6
2018-01-10 23:00:00+01:00,-295
2018-01-11 00:00:00+01:00,126
2018-01-11 01:00:00+01:00,-30
2018-01-11 02:00:00+01:00,254
2018-01-11 03:00:00+01:00,524
2018-01-11 04:00:00+01:00,412
2018-01-11 05:00:00+01:00,-128
2018-01-11 06:00:00+01:00,-609
2018-01-11 07:00:00+01:00,-634
2018-01-11 08:00:00+01:00,304
2018-01-11 09:00:00+01:00,782
2018-01-11 10:00:00+01:00,683
2018-01-11 11:00:00+01:00,828
2018-01-11 12:00:00+01:00,482
2018-01-11 13:00:00+01:00,335
2018-01-11 14:00:00+01:00,275
2018-01-11 15:00:00+01:00,235
2018-01-11 16:00:00+01:00,343
2018-01-11 17:00:00+01:00,776
2018-01-11 18:00:00+01:00,-193
2018-01-11 19:00:00+01:00,-741
2018-01-11 20:00:00+01:00,-1184
2018-01-11 21:00:00+01:00,-787
2018-01-11 22:00:00+01:00,-417
2018-01-11 23:00:00+01:00,90
2018-01-12 00:00:00+01:00,-229
2018-01-12 01:00:00+01:00,-333
2018-01-12 02:00:00+01:00,565
2018-01-12 03:00:00+01:00,617
2018-01-12 04:00:00+01:00,47
2018-01-12 05:00:00+01:00,30
2018-01-12 06:00:00+01:00,-172
2018-01-12 07:00:00+01:00,113
2018-01-12 08:00:00+01:00,571
2018-01-12 09:00:00+01:00,843
2018-01-12 10:00:00+01:00,872
2018-01-12 11:00:00+01:00,828
2018-01-12 12:00:00+01:00,645
2018-01-12 13:00:00+01:00,573
2018-01-12 14:00:00+01:00,568
2018-01-12 15:00:00+01:00,485
2018-01-12 16:00:00+01:00,490
2018-01-12 17:00:00+01:00,655
2018-01-12 18:00:00+01:00,-176
2018-01-12 19:00:00+01:00,-309
2018-01-12 20:00:00+01:00,-332
2018-01-12 21:00:00+01:00,-408
2018-01-12 22:00:00+01:00,-804
2018-01-12 23:00:00+01:00,-774
2018-01-13 00:00:00+01:00,-62
2018-01-13 01:00:00+01:00,590
2018-01-13 02:00:00+01:00,574
2018-01-13 03:00:00+01:00,840
2018-01-13 04:00:00+01:00,1007
2018-01-13 05:00:00+01:00,1195
2018-01-13 06:00:00+01:00,1555
2018-01-13 07:00:00+01:00,1638
2018-01-13 08:00:00+01:00,442
2018-01-13 09:00:00+01:00,644
2018-01-13 10:00:00+01:00,844
2018-01-13 11:00:00+01:00,1034
2018-01-13 12:00:00+01:00,817
2018-01-13 13:00:00+01:00,1168
2018-01-13 14:00:00+01:00,1201
2018-01-13 15:00:00+01:00,1011
2018-01-13 16:00:00+01:00,985
2018-01-13 17:00:00+01:00,991
2018-01-13 18:00:00+01:00,10
2018-01-13 19:00:00+01:00,-431
2018-01-13 20:00:00+01:00,-703
2018-01-13 21:00:00+01:00,-626
2018-01-13 22:00:00+01:00,-1120
2018-01-13 23:00:00+01:00,-354
2018-01-14 00:00:00+01:00,652
2018-01-14 01:00:00+01:00,887
2018-01-14 02:00:00+01:00,971
2018-01-14 03:00:00+01:00,1443
2018-01-14 04:00:00+01:00,1659
2018-01-14 05:00:00+01:00,1554
2018-01-14 06:00:00+01:00,1224
2018-01-14 07:00:00+01:00,763
2018-01-14 08:00:00+01:00,590
2018-01-14 09:00:00+01:00,706
2018-01-14 10:00:00+01:00,910
2018-01-14 11:00:00+01:00,929
2018-01-14 12:00:00+01:00,1146
2018-01-14 13:00:00+01:00,1194
2018-01-14 14:00:00+01:00,1254
2018-01-14 15:00:00+01:00,1211
2018-01-14 16:00:00+01:00,1316
2018-01-14 17:00:00+01:00,1425
2018-01-14 18:00:00+01:00,-307
2018-01-14 19:00:00+01:00,-560
2018-01-14 20:00:00+01:00,-879
2018-01-14 21:00:00+01:00,-1049
2018-01-14 22:00:00+01:00,-1235
2018-01-14 23:00:00+01:00,-793
2018-01-15 00:00:00+01:00,-402
2018-01-15 01:00:00+01:00,-215
2018-01-15 02:00:00+01:00,-157
2018-01-15 03:00:00+01:00,344
2018-01-15 04:00:00+01:00,478
2018-01-15 05:00:00+01:00,148
2018-01-15 06:00:00+01:00,-393
