datetime,netCroBoNL
2024-01-01 00:00:00+01:00,-1272
2024-01-01 01:00:00+01:00,-1334
2024-01-01 02:00:00+01:00,-1090
2024-01-01 03:00:00+01:00,-1125
2024-01-01 04:00:00+01:00,-1224
2024-01-01 05:00:00+01:00,-1073
2024-01-01 06:00:00+01:00,-618
2024-01-01 07:00:00+01:00,-381
2024-01-01 08:00:00+01:00,-2
2024-01-01 09:00:00+01:00,67
2024-01-01 10:00:00+01:00,-151
2024-01-01 11:00:00+01:00,-519
2024-01-01 12:00:00+01:00,-740
2024-01-01 13:00:00+01:00,-818
2024-01-01 14:00:00+01:00,-498
2024-01-01 15:00:00+01:00,832
2024-01-01 16:00:00+01:00,2059
2024-01-01 17:00:00+01:00,2159
2024-01-01 18:00:00+01:00,2682
2024-01-01 19:00:00+01:00,2868
2024-01-01 20:00:00+01:00,2378
2024-01-01 21:00:00+01:00,2105
2024-01-01 22:00:00+01:00,1890
2024-01-01 23:00:00+01:00,1238
2024-01-02 00:00:00+01:00,1826
2024-01-02 01:00:00+01:00,1479
2024-01-02 02:00:00+01:00,658
2024-01-02 03:00:00+01:00,231
2024-01-02 04:00:00+01:00,-66
2024-01-02 05:00:00+01:00,-292
2024-01-02 06:00:00+01:00,1604
2024-01-02 07:00:00+01:00,1685
2024-01-02 08:00:00+01:00,2184
2024-01-02 09:00:00+01:00,3223
2024-01-02 10:00:00+01:00,4070
2024-01-02 11:00:00+01:00,4057
2024-01-02 12:00:00+01:00,4253
2024-01-02 13:00:00+01:00,4245
2024-01-02 14:00:00+01:00,3956
2024-01-02 15:00:00+01:00,3628
2024-01-02 16:00:00+01:00,3067
2024-01-02 17:00:00+01:00,3039
2024-01-02 18:00:00+01:00,2589
2024-01-02 19:00:00+01:00,2918
2024-01-02 20:00:00+01:00,2500
2024-01-02 21:00:00+01:00,2429
2024-01-02 22:00:00+01:00,1875
2024-01-02 23:00:00+01:00,1201
2024-01-03 00:00:00+01:00,2044
2024-01-03 01:00:00+01:00,1303
2024-01-03 02:00:00+01:00,1144
2024-01-03 03:00:00+01:00,690
2024-01-03 04:00:00+01:00,482
2024-01-03 05:00:00+01:00,815
2024-01-03 06:00:00+01:00,691
2024-01-03 07:00:00+01:00,1576
2024-01-03 08:00:00+01:00,2208
2024-01-03 09:00:00+01:00,2609
2024-01-03 10:00:00+01:00,2232
2024-01-03 11:00:00+01:00,1480
2024-01-03 12:00:00+01:00,1414
2024-01-03 13:00:00+01:00,1545
2024-01-03 14:00:00+01:00,2023
2024-01-03 15:00:00+01:00,2953
2024-01-03 16:00:00+01:00,4077
2024-01-03 17:00:00+01:00,4702
2024-01-03 18:00:00+01:00,4491
2024-01-03 19:00:00+01:00,4081
2024-01-03 20:00:00+01:00,4243
2024-01-03 21:00:00+01:00,3720
2024-01-03 22:00:00+01:00,2890
2024-01-03 23:00:00+01:00,2515
2024-01-04 00:00:00+01:00,2204
2024-01-04 01:00:00+01:00,2155
2024-01-04 02:00:00+01:00,2290
2024-01-04 03:00:00+01:00,2333
2024-01-04 04:00:00+01:00,2543
2024-01-04 05:00:00+01:00,2913
2024-01-04 06:00:00+01:00,3514
2024-01-04 07:00:00+01:00,4060
2024-01-04 08:00:00+01:00,4139
2024-01-04 09:00:00+01:00,3979
2024-01-04 10:00:00+01:00,3077
2024-01-04 11:00:00+01:00,2499
2024-01-04 12:00:00+01:00,2326
2024-01-04 13:00:00+01:00,2302
2024-01-04 14:00:00+01:00,1658
2024-01-04 15:00:00+01:00,1391
2024-01-04 16:00:00+01:00,1943
2024-01-04 17:00:00+01:00,1422
2024-01-04 18:00:00+01:00,354
2024-01-04 19:00:00+01:00,-520
2024-01-04 20:00:00+01:00,-1085
2024-01-04 21:00:00+01:00,-1611
2024-01-04 22:00:00+01:00,-1188
2024-01-04 23:00:00+01:00,-193
2024-01-05 00:00:00+01:00,-1179
